localarea,Adult Retail Store *Historic*,Adult Services,Amusement Park,Animal Services,Architectural and Engineering Services,Artist,Artist Agency,Artist Studio,Arts and Creative Instruction,Association or Society,Beauty Services,Bed and Breakfast,Bingo Hall / Casino / Horse Racing,Brokerage Services,Building Repair and Maintenance,Business - Vocational Instruction,Business Support Services,Cannabis Licence Application,Caterer,Consulting and Management Services,Creative Products Manufacturer,Design Services,Digital Entertainment and Interactive Technology,Entertainment Facility,Exhibition Centre,Financial Institution,Financial Services,Fitness Centre,Food Manufacturer Assembler and Processor,Food Market,Forestry Services,Gas Station,General Contractor,General Repair and Maintenance,Grocery Store,Hall / Spectator Sports Venue,Health Care Facility,Health Care Professionals and Services,Health Enhancement Services,Hotel or Motel,Information Communication Technology,Insurance Services,Laboratory Services,Laundry Services,Legal Services,Limited Service Food Establishment,Liquor Establishment,Liquor License Application,Liquor Retail Store,Logistics Services,Long-term Rental,Marina Operator,Marine Service Station,Marketing Public Relations Advertising and Event Promotion Services,Mining Services,Money Services,Non-Food Manufacturer Assembler and Processor,Oil Gas and Other Fuels,Parking Area / Garage,Personal Services,Pharmacy,Photography Production and Rehearsal Studio,Printing Imaging and Photo Services,Private School or College,Publishing and Journalism Services,Real Estate Services,Recycling and Resource Recovery Services,Rental Services,Restaurant,Retail Dealer,Retail Dealer - Cannabis,Retail Dealer - Food,Retail Dealer - Used Goods,Security Services,Short-term Rental Operator,Soliciting For Charity,Special Events,Sport and Fitness Instruction,Street Vendor,Temp Liquor Licence Amendment,Temporary Filming Company,Theatre,Tourism Services,Trade Contractor,Transportation and Support Services,Urban Farm Class A,Urban Farm Class B,Vehicle Repair Detailing and Washing Services,Venue,Warehouse Operator - Food,Warehouse Operator - Non-Food,Waste Collection and Hauling Services,Wholesale Dealer - Food,Wholesale Dealer - Non-Food
Arbutus-Ridge,0.0,0.0,0.0,0.5764966740576497,0.975609756097561,0.7982261640798226,0.0,0.0,1.6851441241685146,0.31042128603104213,2.7937915742793793,0.13303769401330376,0.0,0.5764966740576497,0.3547671840354767,0.17738359201773835,2.0399113082039912,0.0,0.0,4.0798226164079825,0.13303769401330376,0.975609756097561,0.17738359201773835,0.0,0.0,0.2660753880266075,1.1086474501108647,0.0,0.0,0.0,0.0,0.31042128603104213,4.745011086474501,0.2660753880266075,0.13303769401330376,0.0,1.3747228381374723,9.933481152993348,0.6651884700665188,0.0,0.5764966740576497,0.4878048780487805,0.0,0.4434589800443459,1.06430155210643,1.9955654101995564,0.13303769401330376,0.0,0.3547671840354767,0.17738359201773835,29.977827050997785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22172949002217296,0.5764966740576497,0.3991130820399113,0.17738359201773835,0.0,0.13303769401330376,0.0,2.7937915742793793,0.044345898004434586,0.13303769401330376,2.616407982261641,5.498891352549889,0.13303769401330376,1.3747228381374723,0.0,0.31042128603104213,11.175166297117517,0.0,0.08869179600886917,0.5764966740576497,0.31042128603104213,0.0,0.0,0.0,0.3547671840354767,1.862527716186253,0.0,0.0,0.0,0.2660753880266075,0.0,0.0,0.0,0.0,0.13303769401330376,1.0199556541019956
Downtown,0.00253994056539077,0.0076198216961723105,0.0,0.12445708770414772,1.3334687968301542,0.18033578014274465,0.10413756318102156,0.09651774148484926,0.5054481725127632,1.4122069543572682,3.5355972670239515,0.0,0.0076198216961723105,0.6883238932208986,0.33273221406619086,0.38353102537400624,5.140839704350919,0.00253994056539077,0.09143786035406772,5.064641487389196,0.00507988113078154,0.5638668055167508,0.5867262706052678,0.07873815752711387,0.00253994056539077,0.287013283889157,3.985166747098118,0.45210942063955706,0.043178989611643084,0.0,0.030479286784689242,0.0,2.283406568286302,0.17271595844657234,0.09905768205024001,0.04571893017703386,0.5892662111706586,7.863655990449823,0.1854156612735262,0.5460872215590156,3.79467120469381,0.6832440120901171,0.043178989611643084,0.09651774148484926,11.325594981077442,2.783774859668284,0.7543623479210586,0.2006553046658708,0.09651774148484926,0.30733280841228316,16.024485027050368,0.12191714713875697,0.0,0.574026567778314,1.4122069543572682,0.3352721546315816,0.07873815752711387,0.0076198216961723105,1.1175738487719387,0.35813161972009855,0.27431358106220316,0.46988900459729244,0.13207690940032002,0.2006553046658708,0.11175738487719387,2.9006121256762594,0.00507988113078154,0.2158949480582154,3.5584567321124685,4.325518782860481,0.0838180386578954,0.9448578903253664,0.22605471031977853,0.1523964339234462,6.179675395595742,0.00253994056539077,0.2819334027583754,0.2895532244545478,0.06857839526555079,0.4317898961164308,0.0,0.06349851413476924,0.6730842498285541,0.39623072820096006,0.0507988113078154,0.0,0.0,0.04571893017703386,0.11429732544258465,0.0,0.0076198216961723105,0.01269970282695385,0.12953696883492927,0.7010235960478525
Dunbar-Southlands,0.0,0.0,0.0,0.6690140845070423,0.35211267605633806,0.6690140845070423,0.0,0.0,2.147887323943662,0.528169014084507,1.3380281690140845,0.24647887323943662,0.0,0.10563380281690139,0.7042253521126761,0.10563380281690139,2.112676056338028,0.0,0.0,4.014084507042254,0.14084507042253522,1.056338028169014,0.17605633802816903,0.0,0.0,0.3873239436619718,0.8802816901408451,0.35211267605633806,0.0,0.0,0.0,0.10563380281690139,8.626760563380282,0.49295774647887325,0.21126760563380279,0.0,0.10563380281690139,7.253521126760563,0.0,0.0,1.3028169014084507,0.31690140845070425,0.0,0.31690140845070425,0.42253521126760557,1.936619718309859,0.21126760563380279,0.0,0.31690140845070425,0.10563380281690139,32.67605633802817,0.0,0.0,0.31690140845070425,0.17605633802816903,0.14084507042253522,0.0,0.0,0.10563380281690139,0.07042253521126761,0.42253521126760557,0.49295774647887325,0.0,0.21126760563380279,0.24647887323943662,1.0915492957746478,0.0,0.21126760563380279,1.0211267605633803,3.9084507042253525,0.21126760563380279,1.1267605633802817,0.49295774647887325,0.0,15.669014084507044,0.0,0.10563380281690139,0.7394366197183099,0.0,0.035211267605633804,0.0,0.10563380281690139,0.31690140845070425,1.3028169014084507,0.10563380281690139,0.0,0.0,0.24647887323943662,0.0,0.0,0.0,0.0,0.0,0.7394366197183099
Fairview,0.0,0.0,0.0,0.3443789699242366,1.737200581617816,0.40560189791076756,0.13009872197137828,0.09183439197979643,0.352031835922553,1.1708884977424046,2.839213285375373,0.0,0.0,0.4821305578939313,0.26019744394275657,0.4668248258972985,3.298385245274355,0.00765286599831637,0.20662738195454197,3.6886814111884902,0.0,1.1326241677508226,0.4209076299074003,0.022958597994949106,0.0,0.33672610392592023,2.7473788933955765,0.704063671845106,0.3290732379276039,0.0,0.0,0.06122292798653096,3.3060381112726716,0.41325476390908394,0.15305731996632738,0.022958597994949106,1.7065891176245505,25.96617433228744,0.4285604959057167,0.03061146399326548,1.1555827657457718,0.39029616591413485,0.5050891558888804,0.06887579398484733,2.0433152215504706,2.303512665493227,0.21428024795285835,0.07652865998316369,0.16071018596464376,0.11479298997474553,15.290426264636107,1.5076146016683247,0.0,0.3979490319124512,0.0994872579781128,0.13775158796969467,0.16071018596464376,0.0,1.9208693655774087,0.22958597994949106,0.5127420218871968,0.44386622790234936,0.12244585597306192,0.19132164995790923,0.0994872579781128,3.130022193311395,0.0,0.18366878395959285,2.609627305425882,6.474324634575648,0.13775158796969467,0.8953853218030152,0.22193311395117468,0.22958597994949106,0.7499808678350042,0.0,0.12244585597306192,0.4668248258972985,0.06122292798653096,0.0,0.0,0.0994872579781128,0.7805923318282697,0.5127420218871968,0.06887579398484733,0.0,0.0,0.6811050738501568,0.06122292798653096,0.0,0.04591719598989821,0.04591719598989821,0.0994872579781128,0.910691053799648
Grandview-Woodland,0.014025245441795233,0.0,0.0,0.47685834502103785,0.5329593267882188,0.5890603085553997,0.0,0.5750350631136045,0.07012622720897616,1.753155680224404,2.258064516129032,0.0,0.0,0.028050490883590466,0.785413744740533,0.08415147265077139,0.8976157082748949,0.0,2.356241234221599,1.935483870967742,0.0,0.8555399719495091,0.4628330995792427,0.12622720897615708,0.0,0.21037868162692847,0.3085553997194951,0.19635343618513326,2.917251051893408,0.0,0.0,0.16830294530154277,3.6746143057503504,0.6732117812061711,0.21037868162692847,0.05610098176718093,0.44880785413744745,6.086956521739131,0.15427769985974754,0.08415147265077139,0.5890603085553997,0.04207573632538569,0.19635343618513326,0.22440392706872372,0.21037868162692847,3.4221598877980366,0.37868162692847124,0.11220196353436186,0.6311360448807855,0.2664796633941094,28.807854137447404,0.0,0.0,0.2805049088359046,0.028050490883590466,0.15427769985974754,3.1136044880785416,0.0,0.182328190743338,0.33660589060308554,0.5049088359046283,1.6549789621318374,0.42075736325385693,0.0,0.09817671809256663,0.47685834502103785,0.05610098176718093,0.364656381486676,4.165497896213184,3.983169705469846,0.19635343618513326,2.41234221598878,0.47685834502103785,0.028050490883590466,6.577840112201963,0.0,0.9116409537166901,0.364656381486676,1.514726507713885,0.5049088359046283,0.0,0.014025245441795233,0.22440392706872372,1.20617110799439,0.22440392706872372,0.0,0.0,2.3702664796633943,0.08415147265077139,0.04207573632538569,0.33660589060308554,0.014025245441795233,0.6872370266479663,2.1178120617110796
Hastings-Sunrise,0.0,0.0,0.05416140097490522,0.758259613648673,0.6499368116988626,0.9929590178732622,0.05416140097490522,0.09026900162484203,0.2527532045495577,1.2276584220978517,2.6900162484202927,0.0,0.09026900162484203,0.16248420292471566,0.9207438165733887,0.07221520129987362,0.9387976168983572,0.0,0.09026900162484203,2.1122946380213037,0.0,0.6138292110489258,0.2888608051994945,0.03610760064993681,0.0,0.4152374074742733,0.7402058133237047,0.3069146055244629,0.2888608051994945,0.0,0.0,0.2708070048745261,9.225491966058856,0.8124210146235782,0.05416140097490522,0.16248420292471566,0.7402058133237047,7.311789131612205,0.19859180357465248,0.05416140097490522,0.45134500812421013,0.3430222061743997,0.12637660227477884,0.2527532045495577,0.3069146055244629,2.7441776493951977,0.21664560389962087,0.018053800324968405,0.19859180357465248,0.16248420292471566,31.395558765120057,0.0,0.0,0.14443040259974724,0.0,0.3430222061743997,0.43329120779924174,0.0,0.39718360714930495,0.3610760064993681,0.2527532045495577,0.4152374074742733,0.07221520129987362,0.05416140097490522,0.03610760064993681,0.6138292110489258,0.0,0.2888608051994945,2.1484022386712405,4.585665282541975,0.09026900162484203,1.9137028344466511,0.2708070048745261,0.3069146055244629,10.687849792381297,0.0,0.14443040259974724,0.2346994042245893,0.09026900162484203,0.2708070048745261,0.0,0.0,0.16248420292471566,2.635854847445387,0.018053800324968405,0.0,0.0,0.6499368116988626,0.19859180357465248,0.0,0.3791298068243365,0.03610760064993681,0.5235602094240838,2.3469940422458926
Kensington-Cedar Cottage,0.0,0.0,0.0,0.3566908295938327,0.37970314118053156,0.8859739960879071,0.0,0.0,0.3106662064204349,1.4958002531354275,3.6474513864917726,0.08054309055344609,0.0,0.05753077896674721,1.3462202278218847,0.2761477390403866,0.6328385686342193,0.023012311586698884,0.32217236221378437,1.8985157059026578,0.0,0.9204924634679553,0.29916005062708545,0.05753077896674721,0.0,0.33367851800713383,0.8399493729145092,0.391209296973881,0.11506155793349442,0.0,0.0,0.2761477390403866,6.1672995052353015,0.2646415832470372,0.20711080428028997,0.12656771372684386,1.093084800368197,11.287538833275802,0.47175238752732707,0.0,0.5522954780807732,0.3451846738004833,0.0,0.3106662064204349,0.43723392014727885,2.842020480957312,0.14958002531354272,0.011506155793349442,0.08054309055344609,0.37970314118053156,33.41387642388678,0.0,0.0,0.04602462317339777,0.0,0.3106662064204349,0.33367851800713383,0.0,0.2646415832470372,0.32217236221378437,0.5177770107007249,0.43723392014727885,0.20711080428028997,0.11506155793349442,0.06903693476009665,0.2761477390403866,0.0,0.4027154527672305,2.842020480957312,4.395351513059486,0.2761477390403866,1.8639972385226096,0.36819698538718215,0.09204924634679554,9.078356920952709,0.0,0.12656771372684386,0.5522954780807732,0.16108618110689218,0.023012311586698884,0.0,0.03451846738004832,0.32217236221378437,1.875503394315959,0.011506155793349442,0.0,0.0,0.9319986192613048,0.03451846738004832,0.0,0.0,0.06903693476009665,0.14958002531354272,0.4027154527672305
Kerrisdale,0.0,0.0,0.0,0.4966139954853273,0.5869074492099322,0.8577878103837472,0.0,0.09029345372460496,2.3024830699774266,1.1286681715575622,4.108352144469526,0.0,0.0,0.3160270880361174,0.4966139954853273,1.6252821670428894,2.4379232505643342,0.0,0.0,4.063205417607223,0.0,1.399548532731377,0.09029345372460496,0.0,0.0,0.9480812641083521,1.2189616252821671,0.2257336343115124,0.0,0.0,0.0,0.0,5.8690744920993225,0.27088036117381487,0.27088036117381487,0.0,0.6320541760722348,9.751693002257337,0.13544018058690743,0.0,0.4514672686230248,0.5869074492099322,0.0,0.0,1.3544018058690745,1.6252821670428894,0.13544018058690743,0.0,0.27088036117381487,0.13544018058690743,28.75846501128668,0.0,0.0,0.2257336343115124,0.13544018058690743,0.3160270880361174,0.0,0.0,1.1286681715575622,0.2257336343115124,0.27088036117381487,0.3160270880361174,0.0,0.13544018058690743,0.0,3.069977426636569,0.0,0.3160270880361174,3.5214446952595937,5.733634311512415,0.0,1.3544018058690745,0.27088036117381487,0.0,7.223476297968396,0.0,0.09029345372460496,0.3611738148984198,0.13544018058690743,0.0,0.0,0.0,0.8126410835214447,0.9480812641083521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27088036117381487,0.4966139954853273
Killarney,0.0,0.0,0.0,0.9702241552358649,0.5352960856473737,1.2378721980595517,0.10036801605888257,0.10036801605888257,0.5352960856473737,0.5018400802944128,1.0705921712947475,0.0,0.0,0.7360321177651389,2.174640347942456,0.234192037470726,1.0036801605888257,0.03345600535296086,0.0,3.011040481766477,0.0,0.5687520910003346,0.10036801605888257,0.0,0.0,0.6022080963532954,0.8698561391769822,0.3011040481766477,0.0,0.0,0.0,0.3011040481766477,13.21512211441954,0.702576112412178,0.33456005352960855,0.0,0.468384074941452,11.30812980930077,0.5018400802944128,0.0,0.8029441284710606,0.36801605888256944,0.0,0.36801605888256944,0.10036801605888257,2.4422883907661426,0.10036801605888257,0.0,0.3011040481766477,0.6022080963532954,29.37437269989963,0.0,0.0,0.5018400802944128,0.0,0.36801605888256944,0.0,0.0,0.13382402141184344,0.8698561391769822,0.20073603211776514,0.20073603211776514,0.06691201070592172,0.0,0.0,0.468384074941452,0.0,0.13382402141184344,2.9106724657075946,3.345600535296086,0.16728002676480427,1.405152224824356,0.06691201070592172,0.13382402141184344,7.02576112412178,0.0,0.06691201070592172,0.4014720642355303,0.16728002676480427,0.0,0.0,0.0,0.468384074941452,3.4125125460020076,0.26764804282368687,0.0,0.0,0.36801605888256944,0.0,0.0,0.10036801605888257,0.06691201070592172,0.20073603211776514,0.5018400802944128
Kitsilano,0.0,0.0,0.0,0.8581752484191508,0.6323396567299007,0.9936766034327009,0.09936766034327009,0.03613369467028004,1.020776874435411,0.7046070460704607,3.7217705510388437,0.09936766034327009,0.0,0.22583559168925021,0.3342366757000903,0.36133694670280037,1.020776874435411,0.0,0.1264679313459801,3.3965672990063234,0.00903342366757001,0.8491418247515808,0.22583559168925021,0.0,0.0,0.3523035230352303,0.984643179765131,0.984643179765131,0.09033423667570009,0.045167118337850046,0.0,0.10840108401084012,3.3785004516711834,0.2800361336946703,0.3071364046973803,0.05420054200542006,0.7678410117434508,11.38211382113821,0.5058717253839204,0.0,0.4878048780487805,0.3071364046973803,0.0,0.13550135501355012,0.3794037940379404,3.026196928635953,0.39747064137308036,0.01806684733514002,0.2800361336946703,0.13550135501355012,35.54652213188799,0.0,0.02710027100271003,0.3523035230352303,0.00903342366757001,0.19873532068654018,0.02710027100271003,0.0,0.7768744354110207,0.4607046070460705,0.24390243902439024,0.3884372177055104,0.05420054200542006,0.13550135501355012,0.05420054200542006,0.7859078590785908,0.00903342366757001,0.20776874435411022,3.785004516711834,6.088527551942186,0.20776874435411022,1.1020776874435412,0.3884372177055104,0.05420054200542006,6.946702800361337,0.01806684733514002,0.06323396567299006,0.7859078590785908,0.01806684733514002,0.13550135501355012,0.0,0.02710027100271003,0.41553748870822044,0.6955736224028907,0.0,0.0,0.0,0.27100271002710025,0.02710027100271003,0.0,0.05420054200542006,0.02710027100271003,0.01806684733514002,0.4697380307136405
